catalogNumber,identifier
BR0000024463119,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541781
BR0000024463195,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541780
BR0000024463188,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541779
BR0000024463164,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541778
BR0000024462976,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541777
BR0000024463331,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541776
BR0000024463133,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541775
BR0000024463355,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541774
BR0000024463058,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541773
BR0000024463263,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541772
BR0000024463430,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541771
BR0000024463102,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541770
BR0000024463072,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541769
BR0000024463157,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541768
BR0000024463362,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541767
BR0000024463379,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541766
BR0000024463270,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541765
BR0000024463256,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541764
BR0000024463294,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541763
BR0000024462983,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541762
BR0000024463485,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541761
BR0000024463454,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541760
BR0000024463423,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541759
BR0000024463409,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541758
BR0000024463249,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541757
BR0000024463416,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541756
BR0000024463287,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541755
BR0000024463218,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541754
BR0000024463126,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541753
BR0000024463034,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541752
BR0000024462990,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541751
BR0000024463171,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541750
BR0000024463461,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541749
BR0000024463003,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541748
BR0000024463324,https://www.ncbi.nlm.nih.gov/biosample/SAMN15541747
BR0000019073685,https://www.ncbi.nlm.nih.gov/biosample/SAMN03838137
