accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
AF102391	""	""	Carissa bispinosa tRNA-Leu (trnL) gene, intron; chloroplast.	Carissa bispinosa	""	""	1953-3766, Billiet 3529 (BR), PotgieterDNA 494	""	""	""	""
AF102423	""	""	Faroa axillaris tRNA-Leu (trnL) gene, intron; chloroplast.	Faroa axillaris	""	""	M. Schaijes 5076 (BR)	""	""	""	""
AF102424	""	""	Faroa schaijesiorum tRNA-Leu (trnL) gene, intron; chloroplast.	Faroa schaijesiorum	""	""	M. Schaijes 3515 (BR)	""	""	""	""
AF102428	""	""	Gelsemium sempervirens tRNA-Leu (trnL) gene, intron; chloroplast.	Gelsemium sempervirens	""	""	unknown collector, herb. no. S560 (BR)	""	""	""	""
AF102453	""	""	Luculia gratissima x Luculia tsetensis tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Luculia gratissima x Luculia tsetensis	""	""	unknown collector, herb. no. S1640 (BR)	""	""	""	""
AF102465	""	""	Ornichia madagascariensis tRNA-Leu (trnL) gene, intron; chloroplast.	Ornichia madagascariensis	""	""	P.B. Philipson 3973 (BR)	""	""	""	""
AF102479	""	""	Schinziella tetragona tRNA-Leu (trnL) gene, intron; chloroplast.	Schinziella tetragona	""	""	Malaisse 13852 (BR)	""	""	""	""
AF129275	""	""	Saldinia sp. Rakoto 301 rps16 gene, partial sequence; chloroplast gene for chloroplast product.	Saldinia sp. Rakoto 301	""	""	Rakoto 301 (BR)	""	""	""	""
AF152649	""	""	Bikkia tetrandra trnL gene and trnL-F intergenic spacer, partial sequence; chloroplast gene for chloroplast product.	Bikkia tetrandra	""	""	bases 1-464, Fosberg 59775 (NY); bases523-861, van Royen 5492 (BR)	""	""	""	""
AF152671	""	""	Didymosalpinx norae trnL gene and trnL-F intergenic spacer, partial sequence; chloroplast gene for chloroplast product.	Didymosalpinx norae	""	""	herb. no. S1915 (BR)	""	""	""	""
AF159696	""	""	Gelsemium sempervirens trnL-trnF intergenic spacer sequence.	Gelsemium sempervirens	""	""	unknown collector; herb. no. S560 (BR)	""	""	""	""
