accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
AB719258	Viet Nam:Kon Tum, Ngoc Linh Mountain	""	Leptobrachium ngoclinhense mitochondrial genes for 12S rRNA, tRNA-Val and 16S rRNA, partial and complete sequence, specimen_voucher: IEBR:2827.	Leptobrachium ngoclinhense	""	""	IEBR:2827	""	""	""	""
AB719260	Viet Nam:Kon Tum, Kon Plong	""	Leptobrachium pullum mitochondrial genes for 12S rRNA, tRNA-Val and 16S rRNA, partial and complete sequence, specimen_voucher: IEBR:2780.	Leptobrachium pullum	""	""	IEBR:2780	""	""	""	""
AB758500	Singapore	""	Euryale sp. RMBR:OM1 mitochondrial gene for 16S ribosomal RNA, partial sequence, specimen_voucher: RMBR:s.n.	Euryale sp. RMBR:OM1	""	""	RMBR:s.n.	""	""	""	""
AB758530	Singapore	""	Euryale sp. RMBR:OM1 gene for 18S ribosomal RNA, partial sequence, specimen_voucher: RMBR:s.n.	Euryale sp. RMBR:OM1	""	""	RMBR:s.n.	""	""	""	""
AB896759	Viet Nam:Vi Xuyen, Ha Giang	""	Tiwaripotamon vixuyenense mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: TWs12.	Tiwaripotamon vixuyenense	""	""	IEBR:FC:TVx01	""	""	N. L. Doan & X. N. Nguyen	2013-07-02
AM932950	""	""	Hedythyrsus spermacocinus partial ETS, specimen voucher BR:Dessein et al. 1017	Hedythyrsus spermacocinus	""	""	BR:Dessein et al. 1017	""	""	""	""
AM949854	""	""	Pavetta abyssinica partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher BR:De Block:6	Pavetta abyssinica	""	""	BR:De Block:6	""	""	""	""
AM981184	Republic of the Congo	""	Virectaria multiflora partial ETS, specimen voucher BR:Champluvier S109	Virectaria multiflora	""	""	BR:Champluvier S109	""	""	""	""
AM981273	Cameroon	""	Hekistocarpa minutiflora ITS1, 5.8S rRNA gene and ITS2, specimen voucher BR:Sonke et al. 2708	Hekistocarpa minutiflora	""	""	BR:Sonke et al. 2708	""	""	""	""
AM981282	Democratic Republic of the Congo	""	Virectaria major subsp. spathulata ITS1, 5.8S rRNA gene and ITS2, specimen voucher BR:Lejoly 2934	Virectaria major subsp. spathulata	""	""	BR:Lejoly 2934	""	""	""	""
AM981283	Tanzania	""	Virectaria major subsp. major ITS1, 5.8S rRNA gene and ITS2, specimen voucher BR:Kayombo 1842	Virectaria major subsp. major	""	""	BR:Kayombo 1842	""	""	""	""
AM981287	Republic of the Congo	""	Virectaria multiflora ITS1, 5.8S rRNA gene and ITS2, specimen voucher BR:Champluvier S109	Virectaria multiflora	""	""	BR:Champluvier S109	""	""	""	""
AM982730	Cameroon	""	Hekistocarpa minutiflora chloroplast tRNA-Leu gene for transfer RNA-Leu and trnL-trnF intergenic spacer, specimen voucher BR:Sonke et al. 2708	Hekistocarpa minutiflora	""	""	BR:Sonke et al. 2708	""	""	""	""
AM982741	Democratic Republic of the Congo	""	Virectaria major subsp. spathulata chloroplast trnT-trnL IGS, partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher BR:Lejoly 2934	Virectaria major subsp. spathulata	""	""	BR:Lejoly 2934	""	""	""	""
AM982742	Tanzania	""	Virectaria major subsp. major chloroplast partial tRNA-Leu gene for transfer RNA-Leu and trnL-trnF IGS, specimen voucher BR:Kayombo 1842	Virectaria major subsp. major	""	""	BR:Kayombo 1842	""	""	""	""
AM982744	Republic of the Congo	""	Virectaria multiflora chloroplast trnT-trnL IGS, partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher BR:Champluvier S109	Virectaria multiflora	""	""	BR:Champluvier S109	""	""	""	""
AM982749	Cameroon	""	Hekistocarpa minutiflora chloroplast partial rpoC1 gene for RNA polymerase subunit C1, exon 1, specimen voucher BR:Sonke et al. 2708	Hekistocarpa minutiflora	""	""	BR:Sonke et al. 2708	""	""	""	""
AM982755	Democratic Republic of the Congo	""	Stipularia elliptica chloroplast partial rpoC1 gene for RNA polymerase subunit C1, exon 1, specimen voucher BR:Lisowski 56663	Sabicea elliptica	""	""	BR:Lisowski 56663	""	""	""	""
AM982762	Cameroon	""	Sabicea xanthotricha chloroplast partial rpoC1 gene for RNA polymerase subunit C1, exon 1, specimen voucher BR:Sonke 1082	Sabicea xanthotricha	""	""	BR:Sonke 1082	""	""	""	""
AM982770	Democratic Republic of the Congo	""	Virectaria major subsp. spathulata chloroplast partial rpoC1 gene for RNA polymerase subunit C1, exon 1, specimen voucher BR:Lejoly 2934	Virectaria major subsp. spathulata	""	""	BR:Lejoly 2934	""	""	""	""
