accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
AB083095	Brazil	""	Tristicha trifaria chloroplast rbcL gene for ribulose 1,5 bisphosphate carboxylase/oxygenase large subunit, complete cds, specimen_voucher:BR-09 (the university of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-09 (the university of TokyoHerbarium)	""	""	""	""
AB083101	Brazil	""	Tristicha trifaria genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequences, specimen_voucher:BR-09 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-09 (the University of TokyoHerbarium)	""	""	""	""
AB083163	Brazil	""	Tristicha trifaria matK gene for maturase K, complete cds.	Tristicha trifaria	""	""	BR-09(the University of TokyoHerbarium)	""	""	""	""
AB113761	""	""	Tristicha trifaria genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequences, specimen_voucher: BR-01 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-01 (the University of TokyoHerbarium)	""	""	""	""
AB113762	""	""	Tristicha trifaria genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequences, specimen_voucher: BR-18 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-18 (the University of TokyoHerbarium)	""	""	""	""
AB113763	""	""	Tristicha trifaria genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequences, specimen_voucher: BR-22 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-22 (the University of TokyoHerbarium)	""	""	""	""
AB113764	""	""	Tristicha trifaria genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequences, specimen_voucher: BR-29 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-29 (the University of TokyoHerbarium)	""	""	""	""
AB113772	""	""	Tristicha trifaria chloroplast DNA, trnG-trnS intergenic spacer region, specimen_voucher: BR-01 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-01 (the University of TokyoHerbarium)	""	""	""	""
AB113773	""	""	Tristicha trifaria chloroplast DNA, trnG-trnS intergenic spacer region, specimen_voucher: BR-09 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-09 (the University of TokyoHerbarium)	""	""	""	""
AB113774	""	""	Tristicha trifaria chloroplast DNA, trnG-trnS intergenic spacer region, specimen_voucher: BR-18 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-18 (the University of TokyoHerbarium)	""	""	""	""
AB113775	""	""	Tristicha trifaria chloroplast DNA, trnG-trnS intergenic spacer region, specimen_voucher: BR-22 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-22 (the University of TokyoHerbarium)	""	""	""	""
AB113776	""	""	Tristicha trifaria chloroplast DNA, trnG-trnS intergenic spacer region, specimen_voucher: BR-29 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-29 (the University of TokyoHerbarium)	""	""	""	""
AB113785	""	""	Tristicha trifaria chloroplast gene for trnL, complete sequence, specimen_voucher: BR-01 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-01 (the University of TokyoHerbarium)	""	""	""	""
AB113786	""	""	Tristicha trifaria chloroplast gene for trnL, complete sequence, specimen_voucher: BR-09 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-09 (the University of TokyoHerbarium)	""	""	""	""
AB113788	""	""	Tristicha trifaria chloroplast gene for trnL, complete sequence, specimen_voucher: BR-22 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-22 (the University of TokyoHerbarium)	""	""	""	""
AB113789	""	""	Tristicha trifaria chloroplast gene for trnL, complete sequence, specimen_voucher: BR-29 (the University of Tokyo Herbarium).	Tristicha trifaria	""	""	BR-29 (the University of TokyoHerbarium)	""	""	""	""
AB698193	Brazil:Maranhao, Carolina, Itapecuru waterfall	""	Apinagia cf. crispa TNS:BR-8005 chloroplast matK gene for maturase K, complete cds.	Apinagia cf. crispa TNS:BR-8005	""	""	TNS:BR-8005	""	""	""	""
AB698197	Brazil:Goias	""	Apinagia cf. riedelii TNS:BR-116 chloroplast matK gene for maturase K, complete cds.	Apinagia cf. riedelii TNS:BR-116	""	""	TNS:BR-116	""	""	""	""
AB698198	Brazil:Goias, Tributary of Rio Claro nearCaiaponia	""	Apinagia cf. riedelii TNS:BR-136 chloroplast matK gene for maturase K, complete cds.	Apinagia cf. riedelii TNS:BR-136	""	""	TNS:BR-136	""	""	""	""
