coll_id	guid
A010	http://www.wikidata.org/entity/Q36672221
A013	http://www.wikidata.org/entity/Q62990472
A016	http://www.wikidata.org/entity/Q62990497
A020	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=61360
A023	https://viaf.org/viaf/306022403/
A024	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/82de2eef-7741-417e-80ef-0dd716c3b67e
A026	http://www.wikidata.org/entity/Q62990437
A034	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/faaad36b-d24b-41c7-a403-10b01e24425c
A048	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2cd5e4cc-4436-418a-a01b-7b7f42d89f77
A059	https://www.ipni.org/ipni/idAuthorSearch.do?id=297-1
A223	http://www.wikidata.org/entity/Q21338871
A224	http://isni.org/isni/0000000081997308
A251	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/69c78a61-3a0e-41e0-870f-3266800166f1
A898	http://www.wikidata.org/entity/Q953305
A980	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/11e3ab6c-25a9-4266-86e4-579603d3002b
AAL	http://www.wikidata.org/entity/Q10316563
AASLA01	http://www.wikidata.org/entity/Q62990507
ABRJP	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/472c372a-772d-4fcf-990e-5fd272017bce
ACHTL	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0bd4b239-5497-4787-9e5b-dac3baa9221a
ACKER	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e457828f-2e0a-4063-b1a6-dfd286fbb627
ACOCJ	https://viaf.org/viaf/273678867/
ADAMJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/48a6afe9-a525-4116-8405-1f81deacb3f7
ADJAV	http://www.wikidata.org/entity/Q62990406
AELLP	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=25306
AFRY	http://isni.org/isni/0000000111470284
AKOEG	https://species.wikimedia.org/wiki/Akpovi_Ako%C3%A8gninou
ALBON	http://isni.org/isni/0000000394023651
ALBR	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48461
ALLAF	http://www.wikidata.org/entity/Q16020958
ALLAH	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bf6983ad-941f-444f-b5d5-5183a287b25a
ALSHG	http://isni.org/isni/0000000116212428
ALXCJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/242efe1a-00a4-4040-8b83-e3f2d6867f16
AMANI	https://orcid.org/0000-0002-7474-2213
AMBEG	http://www.wikidata.org/entity/Q62990449
AMSH1	http://isni.org/isni/0000000398103288
AMSI1	http://www.wikidata.org/entity/Q62990363
ANDCL	http://www.wikidata.org/entity/Q6409941
ANDEN	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=564
ANDET	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3f02fe6e-3cd9-4aa6-a41f-8a7d88c2cc3f
ANDOJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/862ecf19-2484-4d02-8cf3-e03e74ae4ad3
ANDR1	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41947
ANDRH	http://www.wikidata.org/entity/Q5893518
ANGUA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ce29ac34-b6bb-4c95-8e2e-6fbea28095c5
ANTIP	http://www.wikidata.org/entity/Q62990250
ANTUS	http://www.wikidata.org/entity/Q62990508
APMAK	http://www.wikidata.org/entity/Q62990357
ARBMM	https://species.wikimedia.org/wiki/Mar%C3%ADa_Mercedes_Arbo
ARBOM	https://www.ipni.org/ipni/idAuthorSearch.do?id=36543-1
ARFCG	https://www.biodiversitylibrary.org/creator/127205
ARGEG	https://www.ipni.org/ipni/idAuthorSearch.do?id=30962-1
ARNOF	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/76d40a82-4c67-404b-8066-6fc45d19d4b7
ARNS	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/01469e21-2b94-48e3-9fd6-3af135355271
ARTTH	http://www.wikidata.org/entity/Q21505364
ASHBA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/739fa9db-8a9c-4171-ba8a-57dcb07cafe6
AUBRA	https://viaf.org/viaf/853146998615518942784/
AUQUP	https://viaf.org/viaf/35146030620635862497/
AURIR	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bb144d65-9f11-414e-b651-77f94670c6c9
AUSTR	https://www.biodiversitylibrary.org/creator/149827
AUTR1	http://isni.org/isni/0000000439591098
AYOBF	https://www.ipni.org/ipni/idAuthorSearch.do?id=15657-1
AZNG	https://species.wikimedia.org/wiki/Georges_Vincent_Aznavour
B005	https://viaf.org/viaf/66206001/
B006	https://viaf.org/viaf/273868269/
B008	https://viaf.org/viaf/167722270/
B011	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f900dc7c-c67e-436a-a826-e8b41cc7e271
B014	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=22226
B017	https://species.wikimedia.org/wiki/Caroline_Barbey-Boissier
B035	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d34bb362-2b88-48cb-baaa-c1350b7672ce
B043	https://www.ipni.org/ipni/idAuthorSearch.do?id=1246-1
B054	https://www.ipni.org/ipni/idAuthorSearch.do?id=16064-1
B056	http://www.wikidata.org/entity/Q5361352
B058	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=12756
B062	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/77d2aea3-1365-44d7-b225-f9cb96216cda
B066	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/34a20e84-d3a8-4f45-a674-c541a73b7ccd
B090	http://isni.org/isni/0000000083878249
B102	http://www.wikidata.org/entity/Q62990191
B108	https://viaf.org/viaf/20427222/
B109	http://www.wikidata.org/entity/Q16003595
B113	http://www.wikidata.org/entity/Q21506463
B118	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/914f91be-a9f9-4a6a-b611-9718014c6f37
B119	http://isni.org/isni/000000003328002X
B120	http://www.wikidata.org/entity/Q21506184
B121	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2089
B129	http://www.wikidata.org/entity/Q3619217
B131	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69055
B135	http://isni.org/isni/0000000110412226
B145	https://www.ipni.org/ipni/idAuthorSearch.do?id=16385-1
B153	http://isni.org/isni/0000000109198808
B154	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7f03a607-8912-4e52-98b7-145115783fd2
B168	https://www.ipni.org/ipni/idAuthorSearch.do?id=16261-1
B172	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ca4e14e4-bbbd-4013-a151-91beabb743c7
B190	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2493
B199	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a2ea9525-5830-4f6a-b711-997b39a9f3c3
B204	https://www.ipni.org/ipni/idAuthorSearch.do?id=34671-1
B208	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5d184427-0675-490d-9630-8f690c5a96f7
B230	http://www.wikidata.org/entity/Q62990416
B237	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70236
B250	http://www.wikidata.org/entity/Q10289602
B251	http://www.wikidata.org/entity/Q62990297
B253	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2eaf105d-5622-4778-b265-9af7b89b8e33
B259	https://species.wikimedia.org/wiki/Pierre_L._Boiteau
B297	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0d33adac-fd45-47fd-95b1-f6dcee854695
B321	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/29df416c-844a-4dad-9bae-6184481f45d9
B369	http://www.wikidata.org/entity/Q62990477
B433	http://www.wikidata.org/entity/Q50326308
B831	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17840
B951	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d4328716-2cf7-ff28-7a6a-ead00829c02a
B960	https://species.wikimedia.org/wiki/Wilhelm_Bausch
B961	http://www.wikidata.org/entity/Q21506298
B987	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/93a6b565-4a22-47da-9773-c74562588ab7
BABAG	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=44894
BAILC	http://sdei.senckenberg.de/biographies/information.php?id=1170
BALAM	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1cb532e1-3a19-4d66-a8b7-0693d02b954b
BALDJ	https://www.ipni.org/ipni/idAuthorSearch.do?id=420-1
BALLJ	http://isni.org/isni/0000000079806330
BALLP	https://viaf.org/viaf/207423273/
BAMPP	https://viaf.org/viaf/41836216/
BANGM	http://www.wikidata.org/entity/Q21505621
BANW	https://www.ipni.org/ipni/idAuthorSearch.do?id=31295-1
BARBL	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d8965114-478f-490d-82c3-67494a960091
BARBW	http://isni.org/isni/0000000022173659
BAROR	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/86020185-173d-4b9d-854f-61f92f06f38c
BATEG	http://sdei.senckenberg.de/biographies/information.php?id=1650
