accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date	tax_id	identified_by	nums	colls	verbatimRecordedByID	recordedByLastName	recordedBy.x	recordedByID	numbers	gbifbc	taxon	taxonLabel	gbifID	scientificName	countryCode	recordedBy	eventDate	institutionCode	basisOfRecord
AF102423			Faroa axillaris tRNA-Leu (trnL) gene, intron; chloroplast.	Faroa axillaris			M. Schaijes 5076 (BR)					84887		5076		SCHAM	Schaijes	Schaijes M.	https://viaf.org/viaf/216197654/	5076	BR0000017529426	http://www.wikidata.org/entity/Q15556150	Faroa axillaris	1840241421	Faroa axillaris Baker	CD	Schaijes M.	1991-04-28T00:00:00	BR	PRESERVED_SPECIMEN
AF102424			Faroa schaijesiorum tRNA-Leu (trnL) gene, intron; chloroplast.	Faroa schaijesiorum			M. Schaijes 3515 (BR)					84888		3515		SCHAM	Schaijes	Schaijes M.	https://viaf.org/viaf/216197654/	3515	BR0000017529952	http://www.wikidata.org/entity/Q15556192	Faroa schaijesiorum	1840241430	Faroa schaijesiorum P.Bamps	CD	Schaijes M.	1987-07-12T00:00:00	BR	PRESERVED_SPECIMEN
AF102479			Schinziella tetragona tRNA-Leu (trnL) gene, intron; chloroplast.	Schinziella tetragona			Malaisse 13852 (BR)					82730		13852		MALAF	Malaisse	Malaisse F.	https://orcid.org/0000-0002-4930-1344	13852	BR0000017531924	http://www.wikidata.org/entity/Q15569129	Schinziella tetragona	1840241617	Schinziella tetragona (Schinz) Gilg	CD	Malaisse F.	1986-05-05T00:00:00	BR	PRESERVED_SPECIMEN
AF200977			Aoranthe castaneofulva isolate a ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Aoranthe castaneofulva			Devred 3165 (BR)					136961		3165		DEVRR	Devred	Devred R.	https://viaf.org/viaf/43878548/	3165	BR0000008658036	http://www.wikidata.org/entity/Q15395566	Aoranthe castaneofulva	1839509561	Aoranthe castaneofulva (S.Moore) C.Somers	CD	Devred R.	1947-02-10T00:00:00	BR	PRESERVED_SPECIMEN
AF200978			Aoranthe castaneofulva isolate b ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Aoranthe castaneofulva			Devred 3165 (BR)					136961		3165		DEVRR	Devred	Devred R.	https://viaf.org/viaf/43878548/	3165	BR0000008658036	http://www.wikidata.org/entity/Q15395566	Aoranthe castaneofulva	1839509561	Aoranthe castaneofulva (S.Moore) C.Somers	CD	Devred R.	1947-02-10T00:00:00	BR	PRESERVED_SPECIMEN
AF201032			Atractogyne gabonii trnL-trnF intergenic spacer, complete sequence; chloroplast gene for chloroplast product.	Atractogyne gabonii			Devred 4186 (BR)					136889		4186		DEVRR	Devred	Devred R.	https://viaf.org/viaf/43878548/	4186	BR0000008558626	http://www.wikidata.org/entity/Q15398978	Atractogyne gabonii	1839502330	Atractogyne gabonii Pierre	CD	Devred R.	1960-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AJ846876	Republic of the Congo		Pseudomussaenda stenocarpa partial ITS1, 5.8S rRNA gene and partial ITS2	Pseudomussaenda stenocarpa			Masens 471 (BR)					296960		471		MASEB|MSCRL	Masens|Mas	Masens B.|Mas C.	http://www.wikidata.org/entity/Q62990369|	471	BR0000008488060	http://www.wikidata.org/entity/Q15490308	Pseudomussaenda stenocarpa	1839497449	Pseudomussaenda stenocarpa (Hiern) E.M.A.Petit	CD	Masens B.	1990-11-21T00:00:00	BR	PRESERVED_SPECIMEN
AJ847384	Republic of the Congo		Pseudomussaenda stenocarpa chloroplast DNA for trnT-L-F region	Pseudomussaenda stenocarpa			Masens 471 (BR)					296960		471		MASEB|MSCRL	Masens|Mas	Masens B.|Mas C.	http://www.wikidata.org/entity/Q62990369|	471	BR0000008488060	http://www.wikidata.org/entity/Q15490308	Pseudomussaenda stenocarpa	1839497449	Pseudomussaenda stenocarpa (Hiern) E.M.A.Petit	CD	Masens B.	1990-11-21T00:00:00	BR	PRESERVED_SPECIMEN
AM266825			Knoxia manika chloroplast rps16 gene intron, specimen voucher Schaijes 3339 (BR)	Knoxia manika			Schaijes 3339 (BR)					387019		3339		SCHAM	Schaijes	Schaijes M.	https://viaf.org/viaf/216197654/	3339	BR0000008672186	http://www.wikidata.org/entity/Q15472794	Knoxia manika	1839510581	Knoxia manika (Verdc.) Puff & Robbr.	CD	Schaijes M.	1987-02-22T00:00:00	BR	PRESERVED_SPECIMEN
AM266829			Otiophora angustifolia chloroplast rps16 gene intron, specimen voucher Dessein 607 (BR)	Otiophora angustifolia			Dessein 607 (BR)					387023		607		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	607	BR0000005089819	http://www.wikidata.org/entity/Q15482196	Otiophora angustifolia	1839372809	Otiophora angustifolia Verdc.	ZM	Dessein S.	2004-03-18T00:00:00	BR	PRESERVED_SPECIMEN
