verbatimRecordedByID	recordedByLastName	recordedBy	recordedByID
L789	Leclercq	L. Leclercq	""
PLZGE	Pilz	Pilz G.E.	https://www.ipni.org/ipni/idAuthorSearch.do?id=24871-1
CLIPP	De Clippele	De Clippele	""
GRNWL	Greenstock	Greenstock W.	""
R150	Renauld	Renauld F.	""
M003	Mathieu	Mathieu	""
SONKESON	Sonké$Esono	Sonké B. & Esono P.	""
D121	Debeaux	Debeaux O.	https://www.ipni.org/ipni/idAuthorSearch.do?id=2058-1
MAULC	Maula	Maula C.	""
G123	Grandtner	M. Grandtner	""
BEETA	Beetle	Beetle A.A.	""
V025	van den Eeckhout	van den Eeckhout F.	""
S150	Schilberszky	Schilberszky K.	https://www.ipni.org/ipni/idAuthorSearch.do?id=9079-1
D003	Decary	Decary R.	https://viaf.org/viaf/32037879/
S149	Schödl	Schödl	""
HARYG	Hardy	Hardy Y.G.A.	""
BEESJ	Beesley	Beesley J.S.S.	""
GLLJH	Gillies	Gillies J.	""
MLLNG	Miller	Miller N.G.	""
LAR1	Larraín	Larraín J.	""
LESK01	Leskinen$Leskinen$Lampinen$Lampinen	Leskinen J., Leskinen J., Lampinen T. & Lampinen R.	""
MCLJH	Maclea	Maclea J.H.	""
LMBSH	Lamb	Lamb S.H.	""
BOTSVVED	Botschantzev$Vvedensky	Botschantzev V.P. & Vvedensky A.I.	""
MORIA	Mori	Mori Antonio	""
MEIKR	Meikle	Meikle R.D.	https://viaf.org/viaf/57151594471505352184/
CORRMARQ	Correia$Marques	Correia M.P. & Marques A.	""
HEDIL	Hédin	Hédin L.	""
CHORJ	Chorley	Chorley J.K.	""
JLAGMJAH	Lindeman$Görts-van Rijn$Jansen-Jacobs$Hetterscheid-Hollants	Lindeman J.C., Görts-van Rijn A.R.A., Jansen-Jacobs M.J. & Hetterscheid-Hollants A.M.C.	""
GSPMA	Gereau$Sosef$Paluku$Mbey$Amboko	Gereau R.E., Sosef M.S.M., Paluku G., Mbey J. & Amboko J.	""
ROBE01	Robertson	Robertson J.M.	""
IVERS	Iversen	Iversen S.T.	""
DAYFERN	Day$Fernald	Day M.A. & Fernald M.L.	""
DSL	De Smedt	De Smedt L.	""
SUVAP	Suvarnakoses	Suvarnakoses P.	""
S123	Sudre	Sudre H.	""
DV1	De Vlieghere	De Vlieghere	""
VANDV	Vandermeiren	Vandermeiren V.	""
POLHLOVE	Polhill$Lovett	Polhill R.M. & Lovett J.M.	""
FADRFADAGILJGACN	Faden$Faden$Gillett$Gachathi	Faden R.B., Faden A.J., Gillett J.B. & Gachathi N.	""
MYRRB	Meyer	Meyer R.	""
L952	Laurer	Laurer J.F.	""
C027	Cheesman	Cheesman W.N.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/796052ad-26f3-4a76-b3b3-f5b862dced8a
W012	Wilmet	Wilmet J.	""
M052	Machs	Machs	""
BRBVJ	Barbier$Barbier	Barbier V. & J.	""
MERESCHM	Merello$Schmidt$Amponsah$Welsing$Baah	Merello M., Schmidt H., Amponsah J., Welsing A. & Baah K.	""
TORRJ	Torrey	Torrey J.	""
BELBEL	Bell$Bell	Bell C.R & Bell S.F.	""
MTPHS	Meerts$Hasson	Meerts P. & Hasson	""
BOLAG	Boland	Boland G.	""
OCHHL	Ochoterena-Booth	Ochoterena-Booth H.	""
RNDRN	Randrianasolo$Ranaivojaona	Randrianasolo A. & Ranaivojaona R.	""
MWAN14	Mwangoka$Leonard$Mwitenda	Mwangoka M.A., Leonard C. & Mwitenda B.	""
LAZA02	Lazare$Alson	Lazare J. & Alson J.	""
CRAHJ	Crahay	Crahay J.	""
FELLA	Fellingham	Fellingham A.	https://www.ipni.org/ipni/idAuthorSearch.do?id=35836-1
L142	Lindberg	Lindberg S.O.	""
DEYLM	Deyl	Deyl M.	""
SMITC5	Smith	Smith C.F.	""
LEEU02	Leeuwenberg$Louis	Leeuwenberg A.J.M. & Louis, A.M.	""
HANI01	Hanid$Raadts$Nuernbergk	Hanid A., Raadts E. & Nuernbergk E.	""
RKTEA	Rakotobe	Rakotobe É.A..	""
KNOPN	Knops	Knops N.	""
WESCJ	Wescott	Wescott J.H.	""
F777	Findlay	Findlay W.P.K.	""
M866	Mougeot	Mougeot A.	""
SAGA03	Sagalaev$Bochkin$Ilminskikh	Sagalaev V., Bochkin V. & Ilminskikh N.	""
H086	Harper$Harper	Harper E.T. & Harper S.A.	""
ONANJ	Onana	Onana J.M.	""
TUCKE	Tuckerman	Tuckerman E.	http://viaf.org/viaf/59861375
KNECM	Knecht	Knecht M.	""
GMRMAR	Le Marchand$Marechal	Le Marchand G. & Marechal R.	""
MACDW	MacDonald	MacDonald W.	""
H048	Hesler	Hesler J.	""
SIMOF	Simons	Simons F.A.A.	""
BASTJ	Bastien	Bastien J.E.	""
VICKJ	Vickery	Vickery Joyce Winifred	""
L078	Lehtola	Lehtola V.B.	""
BLSAA	Balsinhas	Balsinhas A.A.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b6dd625a-0694-417c-bbcc-101dc4589b73
CHAMR	Chambon	Chambon R.	""
FEIGE02	Feige	Feige S.	""
UNDEL	Underwood	Underwood L.M.	""
LNDCNT	Lundell$Contreras	Lundell C. L. & Contreras Elias	""
JACON	Jacobsen	Jacobsen Niels	""
WROBK	Wroblewski	Wroblewski K.	""
RICOE	Rico	Rico E.	""
BIDA04	Bidault$Stévart$Diabate$Serein$Traore	Bidault E., Stévart T., Diabate M., Serein J.Y. & Traore G.	""
LOPEJ	Lopez	Lopez J.F.	""
ROUNN	Rounce	Rounce N.V.	""
BAINW	Bainbridge	Bainbridge W.R.	""
HOFFM	Hofmann	Hofmann	""
MAIT01	Maite$De Koning	Maite A. & De Koning Jan	""
PRESJ	Presland	Presland John L.	""
BUFF1	Buffort	Buffort	""
P204	Pop	Pop I.	""
M111	Minkevicius	Minkevicius A.	""
M987	Mukandera	Mukandera A.	""
GFHMS	Granville$Crozier$Feuillet$Hequet$Mori$Smith	Granville J.J., Crozier F., Feuillet C., Hequet V., Mori S.A. & Smith N.	""
BIOR1	Bioret	Bioret	""
ISANN	Isani	Isani N.A.	""
PROU1	Proud	Proud	""
L137	Lenne	Lenne M.	""
V058	Voyage	Voyage Belgica	""
B113	Brenckle	Brenckle J.F.	http://www.wikidata.org/entity/Q21506463
DUFFDUFF	Duff$Duff	Duff & Duff	""
DELNGIR	Delnatte$Girod	Delnatte C. & Girod C.	""
MADAM	Madany	Madany M.	""
GAILC	Gaillardot	Gaillardot C.	""
HUBEA1	Hubert	Hubert A.	""
CANT01	Cantó$Laorga	Cantó P. & Laorga S.	""
H391	Hauck	Hauck F.	""
ROBGE	Roberty	Roberty G.E.	http://viaf.org/viaf/75802463
RNDRT	Randriatafika	Randriatafika F.	http://www.ipni.org/ipni/idAuthorSearch.do?id=20019251-1
DLLEWI	De Lima$Lewis$Caruso	De Lima H.C., Lewis G.P. & Caruso J.	""
SAUVM	Sauvain	Sauvain M.	""
CALLH	Callens	Callens H.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5b616ecc-28cb-4def-9080-ea461c12b22f
S878	Sedgwick	L.J. Sedgwick	https://www.ipni.org/ipni/idAuthorSearch.do?id=12267-1
FINK	Fink	Fink B.	https://viaf.org/viaf/35241295/
TARDTARD	Tardieu$Tardieu	Tardieu G. & Tardieu M.	""
JONGJ	Jongepier	Jongepier J.	""
O012	Orian	Orian G.	""
S015	Singer	Singer R.	http://viaf.org/viaf/92597180
C076	Cirtu	Cirtu D.	""
EGGEW	Eggeling	Eggeling W.J.	https://viaf.org/viaf/95138782/
LGRM	Legrain	Legrain M.	""
PETIG	Petit-Bois	Petit-Bois G.	""
F980	Fuisting	Fuisting W.	""
L201	Leresche	Leresche L.	https://www.ipni.org/ipni/idAuthorSearch.do?id=5496-1
RYDEC	Rydén	Rydén C.M.	""
G079	Grintescu$von Tiesenhausen	Grintescu I. & Tiesenhausen M.	""
G080	Ghysebrechts	Ghysebrechts L.	""
ROSTH	Von Rosthorn	Von Rosthorn	""
VDOOJ	Van Doorn	Van Doorn J.	""
BALA01	Balaka$Kaunda	Balaka J.L.. & Kaunda K.	""
HMFTIZ	Higuchi$Furuki$Iwatsuki	Higuchi M., Furuki T. & Iwatsuki Z.	""
NITTA	Nitta	Nitta A.	""
EMSOH	Emson	Emson H.E.	""
FROER	Fróes	Fróes R.L.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/03dfe9ec-db90-4651-a899-33230edc7486
HALLH	Hall	Hall H.N.	""
NITKJ	Nitka	Nitka J.	""
SCHIA	Schierl	Schierl A.	""
